Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,17.350000,18.510000,17.309999,18.219999,18.219999,21390600
2022-07-07,18.290001,19.875000,18.059999,19.809999,19.809999,19510400
2022-07-08,19.440001,20.610001,19.320000,19.990000,19.990000,24362100
2022-07-11,19.920000,20.020000,18.500000,18.530001,18.530001,11665000
2022-07-12,18.740000,19.459999,18.245001,19.330000,19.330000,12437500
2022-07-13,18.650000,19.749001,18.549999,19.510000,19.510000,12273100
2022-07-14,19.440001,20.150000,18.959999,20.110001,20.110001,12948500
2022-07-15,20.120001,20.290001,19.209999,19.680000,19.680000,13949500
2022-07-18,20.070000,21.080000,19.860001,19.959999,19.959999,17273800
2022-07-19,20.490000,20.549999,19.860001,20.379999,20.379999,11280300
2022-07-20,20.360001,21.340000,20.360001,21.270000,21.270000,15250100
2022-07-21,21.139999,21.780001,20.781000,21.480000,21.480000,15841800
2022-07-22,21.450001,21.450001,19.540001,19.680000,19.680000,14026800
2022-07-25,19.780001,19.900000,18.639999,18.740000,18.740000,11624200
2022-07-26,18.480000,18.565001,17.889999,18.090000,18.090000,11087900
2022-07-27,18.440001,18.594999,17.870001,18.430000,18.430000,15566000
2022-07-28,18.740000,19.024000,17.775000,18.240000,18.240000,16839400
2022-07-29,18.000000,18.290001,17.879999,18.250000,18.250000,16504000
2022-08-01,18.209999,18.690001,17.770000,18.530001,18.530001,15465800
2022-08-02,18.219999,19.990000,17.820000,19.730000,19.730000,20507400
2022-08-03,19.820000,20.620001,19.530001,20.559999,20.559999,29292200
2022-08-04,18.040001,18.860001,18.000000,18.559999,18.559999,37355200
2022-08-05,18.400000,18.600000,17.920000,18.049999,18.049999,16542600
2022-08-08,18.180000,19.709999,18.075001,18.719999,18.719999,21703000
2022-08-09,18.520000,18.530001,17.125000,17.459999,17.459999,23944600
2022-08-10,18.070000,18.340000,17.510000,18.219999,18.219999,19041300
2022-08-11,18.389999,18.920000,18.020000,18.090000,18.090000,19662500
2022-08-12,18.250000,18.709999,17.829000,18.660000,18.660000,13906200
2022-08-15,18.360001,19.080000,18.309999,18.760000,18.760000,10488300
2022-08-16,18.620001,19.155001,18.180000,18.930000,18.930000,12979600
2022-08-17,18.660000,18.790001,18.150000,18.459999,18.459999,11017300
2022-08-18,18.580000,18.600000,18.010000,18.230000,18.230000,10206400
2022-08-19,17.980000,17.990000,16.690001,16.750000,16.750000,26005800
2022-08-22,16.775000,16.775000,16.030001,16.100000,16.100000,15375300
2022-08-23,16.260000,16.440001,15.950000,15.980000,15.980000,11651100
2022-08-24,16.250000,16.840000,15.955000,16.440001,16.440001,11934800
2022-08-25,16.700001,17.230000,16.580000,16.980000,16.980000,10480900
2022-08-26,17.100000,17.280001,16.209999,16.240000,16.240000,13160300
2022-08-29,16.090000,16.450001,15.860000,16.170000,16.170000,8469300
2022-08-30,15.800000,15.850000,14.890000,15.150000,15.150000,27308600
2022-08-31,15.320000,15.519000,14.960000,15.340000,15.340000,13917200
2022-09-01,15.210000,15.405000,14.790000,15.380000,15.380000,13605600
2022-09-02,15.470000,15.630000,14.990000,15.160000,15.160000,13695300
2022-09-06,15.040000,15.130000,14.580000,14.610000,14.610000,17263300
2022-09-07,14.464000,14.750000,13.863000,14.700000,14.700000,17388200
2022-09-08,14.460000,14.990000,14.385000,14.990000,14.990000,11854400
2022-09-09,15.000000,15.420000,14.930000,15.080000,15.080000,17971300
2022-09-12,15.450000,16.597000,15.310000,16.549999,16.549999,24276500
2022-09-13,15.810000,16.680000,15.640000,16.100000,16.100000,21307200
2022-09-14,16.020000,16.879999,15.975000,16.629999,16.629999,21932200
2022-09-15,16.400000,17.330000,16.340000,16.490000,16.490000,19007500
2022-09-16,16.129999,17.690001,16.080000,16.180000,16.180000,50642800
2022-09-19,16.059999,16.410000,15.440000,15.940000,15.940000,18925100
2022-09-20,15.820000,15.951000,15.230000,15.340000,15.340000,12585600
2022-09-21,15.390000,16.160000,15.280000,15.560000,15.560000,16880000
2022-09-22,15.450000,15.580000,14.120000,14.310000,14.310000,20375900
2022-09-23,14.170000,14.250000,13.580000,14.030000,14.030000,18635800
2022-09-26,14.050000,14.650000,13.952000,14.060000,14.060000,11486300
2022-09-27,14.810000,15.180000,14.150000,14.410000,14.410000,20173200
2022-09-28,14.520000,15.320000,14.355000,15.220000,15.220000,15089800
2022-09-29,14.980000,15.000000,13.990000,14.190000,14.190000,14253500
2022-09-30,14.050000,14.440000,13.870000,13.970000,13.970000,12259300
2022-10-03,14.000000,14.220000,13.520000,14.090000,14.090000,19230900
2022-10-04,14.510000,15.680000,14.510000,15.400000,15.400000,22799900
2022-10-05,14.961000,15.170000,14.510000,14.990000,14.990000,11615300
2022-10-06,15.018000,15.300000,14.305000,14.410000,14.410000,13163700
2022-10-07,14.061000,14.180000,13.120000,13.170000,13.170000,21772500
2022-10-10,13.230000,13.260000,12.290000,12.480000,12.480000,20767800
2022-10-11,12.430000,13.217000,12.200000,12.650000,12.650000,22025100
2022-10-12,13.250000,13.500000,12.610000,13.090000,13.090000,23191800
2022-10-13,12.740000,13.240000,12.375000,13.010000,13.010000,20889200
2022-10-14,13.180000,13.220000,11.870000,11.890000,11.890000,23536700
2022-10-17,12.350000,12.920000,12.344000,12.410000,12.410000,18897300
2022-10-18,12.920000,13.160000,12.515000,13.010000,13.010000,16688500
2022-10-19,12.845000,12.930000,12.450000,12.640000,12.640000,11700900
2022-10-20,12.710000,13.100000,12.360000,12.600000,12.600000,17586500
2022-10-21,12.460000,13.420000,12.280000,13.310000,13.310000,17222200
2022-10-24,13.170000,13.175000,12.530000,12.800000,12.800000,14457700
2022-10-25,12.900000,14.170000,12.900000,13.920000,13.920000,22487600
2022-10-26,13.740000,14.520000,13.620000,13.910000,13.910000,15071200
2022-10-27,14.050000,14.380000,13.680000,13.790000,13.790000,11174000
2022-10-28,13.790000,14.300000,13.650000,14.230000,14.230000,12837100
2022-10-31,14.160000,14.675000,14.045000,14.290000,14.290000,24662300
2022-11-01,14.670000,14.840000,13.600000,13.620000,13.620000,14636500
2022-11-02,13.670000,14.350000,13.315000,13.340000,13.340000,14289000
2022-11-03,13.230000,14.075000,13.150000,13.640000,13.640000,10715300
2022-11-04,14.040000,14.340000,13.300000,13.890000,13.890000,19218400
2022-11-07,14.050000,14.200000,13.205000,13.850000,13.850000,16368000
2022-11-08,13.910000,14.040000,13.070000,13.500000,13.500000,23031500
2022-11-09,12.490000,12.530000,10.890000,11.210000,11.210000,52598500
2022-11-10,12.010000,12.340000,11.370000,12.110000,12.110000,42963100
2022-11-11,12.130000,13.179000,12.070000,12.910000,12.910000,29191500
2022-11-14,12.880000,12.960000,12.102000,12.210000,12.210000,18403800
