Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,95.290001,96.169998,91.800003,92.879997,92.879997,5703000
2022-07-07,93.660004,97.550003,92.160004,97.500000,97.500000,7480500
2022-07-08,96.230003,98.120003,93.241997,97.349998,97.349998,5669500
2022-07-11,96.000000,97.089996,93.269997,95.099998,95.099998,6041400
2022-07-12,95.300003,97.685997,93.320000,96.550003,96.550003,4170200
2022-07-13,93.750000,96.588997,91.610001,95.639999,95.639999,6967800
2022-07-14,94.279999,94.580002,90.169998,91.050003,91.050003,8334600
2022-07-15,92.550003,95.650002,90.660004,94.660004,94.660004,7497200
2022-07-18,96.779999,101.879997,95.980003,97.669998,97.669998,7171500
2022-07-19,99.699997,102.709999,98.760002,102.199997,102.199997,5603800
2022-07-20,103.110001,108.919998,102.750000,107.730003,107.730003,6834100
2022-07-21,106.980003,108.500000,104.410004,108.139999,108.139999,4284900
2022-07-22,108.309998,110.099998,102.930000,103.970001,103.970001,4243900
2022-07-25,103.779999,105.260002,101.478996,104.949997,104.949997,3142900
2022-07-26,102.379997,103.629997,101.099998,101.910004,101.910004,4191000
2022-07-27,105.790001,107.985001,104.059998,107.360001,107.360001,5362700
2022-07-28,108.169998,110.059998,104.680000,108.839996,108.839996,4471900
2022-07-29,108.195000,111.160004,107.110001,110.980003,110.980003,4637800
2022-08-01,110.000000,113.959999,107.480003,111.199997,111.199997,6019500
2022-08-02,111.669998,117.779999,111.099998,116.339996,116.339996,15208200
2022-08-03,108.224998,115.570000,107.650002,115.019997,115.019997,23354900
2022-08-04,114.309998,119.239998,114.254997,119.220001,119.220001,9180300
2022-08-05,115.519997,118.870003,114.820000,117.110001,117.110001,6495000
2022-08-08,118.154999,119.639999,115.430000,115.820000,115.820000,5382900
2022-08-09,115.000000,115.669998,112.800003,114.440002,114.440002,4201200
2022-08-10,119.330002,120.339996,116.300003,118.730003,118.730003,5529000
2022-08-11,121.300003,127.089996,120.959999,121.500000,121.500000,8110100
2022-08-12,122.800003,125.000000,121.120003,124.510002,124.510002,5012500
2022-08-15,123.550003,126.434998,123.199997,126.040001,126.040001,4884700
2022-08-16,124.230003,125.419998,122.620003,124.180000,124.180000,4370700
2022-08-17,121.629997,123.269997,120.639999,121.870003,121.870003,4336200
2022-08-18,121.500000,122.199997,120.279999,121.269997,121.269997,3373900
2022-08-19,118.184998,119.220001,114.099998,114.760002,114.760002,5288800
2022-08-22,110.360001,114.227997,109.970001,111.389999,111.389999,6057400
2022-08-23,112.410004,114.019997,111.410004,111.599998,111.599998,5447200
2022-08-24,110.930000,115.570000,110.839996,114.510002,114.510002,3634000
2022-08-25,115.889999,117.949997,115.419998,117.029999,117.029999,4021600
