Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,287.350006,290.950012,285.589996,288.799988,286.755524,63194700
2022-07-07,289.630005,295.700012,289.630005,294.980011,292.891785,56620100
2022-07-08,292.079987,296.750000,291.119995,295.350006,293.259125,59895500
2022-07-11,292.880005,293.109985,288.140015,289.040009,286.993805,55273900
2022-07-12,290.320007,292.279999,284.609985,286.239990,284.213623,55797100
2022-07-13,280.600006,288.049988,280.019989,285.649994,283.627838,73939400
2022-07-14,282.989990,287.559998,279.799988,286.670013,284.640625,63741800
2022-07-15,289.730011,291.980011,288.079987,291.869995,289.803802,63818100
2022-07-18,294.720001,296.160004,288.200012,289.399994,287.351257,59519600
2022-07-19,293.109985,298.600006,291.470001,298.299988,296.188263,55172600
2022-07-20,298.730011,304.239990,297.929993,303.029999,300.884766,67769400
2022-07-21,303.500000,307.440002,300.779999,307.380005,305.203979,55049400
2022-07-22,306.429993,308.549988,300.119995,301.989990,299.852142,57127700
2022-07-25,302.019989,302.500000,298.220001,300.269989,298.144287,40582400
2022-07-26,298.529999,298.790009,293.540009,294.369995,292.286102,50074100
2022-07-27,299.040009,308.540009,298.459991,306.809998,304.638031,69304400
2022-07-28,306.589996,310.399994,302.750000,309.809998,307.616791,55139900
2022-07-29,311.390015,316.390015,309.929993,315.459991,313.226776,57501000
2022-08-01,313.649994,318.809998,312.529999,315.269989,313.038116,46358800
2022-08-02,312.920013,318.549988,311.839996,314.329987,312.104767,48676500
2022-08-03,316.049988,323.730011,315.989990,322.890015,320.604187,53735700
2022-08-04,322.970001,324.720001,320.769989,324.399994,322.103516,38973700
2022-08-05,319.190002,323.829987,318.390015,321.750000,319.472260,53894000
2022-08-08,322.690002,326.470001,319.209991,320.709991,318.439636,43878500
2022-08-09,318.769989,319.029999,315.420013,317.079987,314.835327,39764200
2022-08-10,324.589996,326.230011,322.059998,325.929993,323.622650,51459600
2022-08-11,328.309998,330.359985,323.359985,324.079987,321.785767,45897700
2022-08-12,326.179993,330.589996,325.100006,330.390015,328.051117,40928400
2022-08-15,329.420013,333.570007,329.399994,333.059998,330.702179,38266600
2022-08-16,332.059998,334.420013,329.160004,332.279999,329.927704,41186900
2022-08-17,329.070007,331.429993,326.359985,328.489990,326.164551,47842200
2022-08-18,328.440002,330.489990,326.790009,329.279999,326.948944,41937200
2022-08-19,326.170013,326.839996,322.079987,322.859985,320.574371,51770600
2022-08-22,318.500000,318.739990,313.529999,314.359985,312.134583,51098900
2022-08-23,314.119995,317.000000,313.329987,314.100006,311.876434,39497100
2022-08-24,313.609985,316.869995,312.989990,315.010010,312.779999,38057100
2022-08-25,316.829987,320.600006,315.760010,320.579987,318.310516,38098300
2022-08-26,320.279999,321.510010,307.350006,307.440002,305.263550,69047700
2022-08-29,304.619995,307.220001,303.279999,304.410004,302.255005,48321900
2022-08-30,306.100006,306.730011,298.440002,301.019989,298.889038,51184500
2022-08-31,303.989990,304.910004,299.160004,299.269989,297.151428,50044000
2022-09-01,296.720001,299.779999,292.950012,299.399994,297.280457,57990700
2022-09-02,302.339996,303.750000,293.519989,295.170013,293.080414,64666800
2022-09-06,295.660004,296.600006,290.869995,293.049988,290.975403,57005400
2022-09-07,293.540009,299.989990,293.269989,298.970001,296.853516,49260400
2022-09-08,296.850006,301.869995,295.450012,300.519989,298.392548,55649800
2022-09-09,302.829987,307.600006,300.519989,307.089996,304.916046,56125200
2022-09-12,308.500000,311.079987,308.179993,310.739990,308.540192,45905700
2022-09-13,301.799988,303.019989,292.790009,293.700012,291.620850,79562200
2022-09-14,294.869995,296.929993,293.059998,296.029999,293.934357,54907200
2022-09-15,294.070007,296.529999,289.459991,291.100006,289.039246,65299400
2022-09-16,287.720001,289.720001,285.619995,289.320007,287.271851,79920400
2022-09-19,286.100006,291.209991,286.040009,291.049988,289.508942,52613800
2022-09-20,288.489990,291.070007,286.380005,288.730011,287.201233,51271100
2022-09-21,289.589996,293.950012,283.420013,283.559998,282.058594,82931000
2022-09-22,282.000000,283.029999,278.820007,280.070007,278.587097,62757100
2022-09-23,277.549988,277.850006,272.019989,275.510010,274.051239,74815200
2022-09-26,275.029999,279.489990,273.559998,274.369995,272.917236,71176700
2022-09-27,277.809998,280.209991,272.109985,274.480011,273.026703,69780100
2022-09-28,274.459991,281.250000,272.950012,279.940002,278.457733,79652100
2022-09-29,275.859985,276.250000,268.839996,271.869995,270.430481,81216000
2022-09-30,271.029999,275.190002,267.100006,267.260010,265.844910,78482400
2022-10-03,269.070007,275.160004,267.529999,273.529999,272.081696,61267400
2022-10-04,278.989990,282.850006,278.989990,282.130005,280.636169,66696900
2022-10-05,278.279999,283.809998,275.420013,281.980011,280.486969,55766300
2022-10-06,280.959991,284.179993,279.429993,279.760010,278.278717,53489400
2022-10-07,275.019989,275.149994,267.739990,269.100006,267.675171,71354700
2022-10-10,269.299988,269.700012,263.640015,266.410004,264.999390,60393000
2022-10-11,264.700012,267.630005,261.029999,262.750000,261.358795,66522500
2022-10-12,263.399994,265.359985,261.950012,262.660004,261.269257,50580200
2022-10-13,255.160004,270.170013,254.259995,268.820007,267.396637,112894100
2022-10-14,271.200012,271.809998,260.140015,260.739990,259.359406,77244300
2022-10-17,266.839996,270.239990,266.739990,269.350006,267.923859,64576500
2022-10-18,276.529999,277.209991,268.739990,271.480011,270.042572,69781000
2022-10-19,269.929993,273.679993,268.070007,270.489990,269.057800,53115400
2022-10-20,269.579987,274.839996,267.920013,269.109985,267.685089,60605500
2022-10-21,267.980011,275.970001,266.820007,275.420013,273.961700,77897700
2022-10-24,275.690002,279.399994,271.970001,278.450012,276.975647,63963600
2022-10-25,279.410004,284.600006,277.899994,284.209991,282.705139,59014500
2022-10-26,278.459991,283.980011,277.429993,277.929993,276.458405,63492400
